h_tag,group_name,id_shape,n_relay_instances,relays_or_relay_keys
clan-test,,human-readable slug,49,key:00ba9099 key:03125e3a key:0319cdc0 key:0b39d583 key:1642183d key:18283348 key:1baf936e key:1d05184e key:215d0664 key:32d1f284 key:37896c4a key:37d14f64 key:395434a2 key:42a22274 key:4c5fbaff key:5a046afa key:600ed8ae key:62361b92 key:64cf2cb3 key:6b03a7c3 key:6ff84457 key:73d98542 key:87ba5faa key:8ad7fe5a key:91d2561b key:91ed0b40 key:98c3091b key:9ad2920c key:9ae60d70 key:9c5bc8ca key:a31ce0b3 key:af2998c9 key:af83c0ae key:b6ba8f57 key:b970dd51 key:bf0794b0 key:bf76473d key:ca6d0766 key:cbac5108 key:d40e5a5f key:d88e847e key:e141ff9d key:e8a719fc key:f1bf84cd key:f22e1cdb key:f58ff8a9 key:f6b1203e key:f72299ed key:fc3c2b95
poker-game,,human-readable slug,11,key:2c84cb0d key:52b3c29a key:69693ff0 key:6e566cc7 key:9c67716c key:a9480917 key:aa758389 key:bc7b36eb key:da0fb4cc key:e41ad39c key:f6db36f1
npub1npzwvwukmqh2ep6h2hyszyja6mmthp8ggllfeveewdqjrzjlxx3s4mnrmd:testBeepyBeep,test beepy beep,npub-namespaced,6,key:6108aa41 key:9844e63b key:c3d20e43 key:cab0bc24 key:e5f3d95e key:fb5b7aa7
npub1rlr8jpy7xpc5u97p20x9zvd8aqdh9tk00ga5sk8wugul95qy2w2qy6pnkg:throatDoctor,THROAT DOCTOR,npub-namespaced,6,key:13e5bc15 key:1fc67904 key:22bebd34 key:24d439a9 key:4520f82e key:a3d580fc
npub1d9z59mkrqnq6p064fvlewel5q66kpdj2dajkf88fdsdzxgzkerrsv0qmeq:testFreebom,test freebom,npub-namespaced,5,key:5505ac0a key:694542ee key:7b52bc85 key:833ac438 key:c9cd2704
npub1qqhdpw8z0jghhafd9xr2z7cmu95zjht6dk4zarpquhqqknc83xssd8ltln:testFebeeenis,test febeeenis,npub-namespaced,5,key:002ed0b8 key:1a034301 key:3a34cf83 key:d31f9800 key:e18f845e
npub1zwffdet2tgs69uf3vm0t3zcwwwvskw836hw3jynr820r3tkucdxsne58ww:poppacopta,Poppacopta,npub-namespaced,5,key:139296e5 key:1d9d4f4a key:50ef5862 key:785b7d3a key:e7353c04
7c92b9a7956977b7,7c92b9a7956977b7,random hex-16,4,key:081d5c44 key:ea2fa747 wss://groups.0xchat.com wss://groups.satsdisco.com
npub14le4ev6udkrx3em2g7uy4dxf96kqyaf4eve0p534l9943q9mrxzsnc380q:testMoomee,test moomee,npub-namespaced,4,key:15493b18 key:1a034301 key:3a34cf83 key:aff35cb3
npub1jc2ekwyn66996p9t3eacdufj9rsw0xv8apmgks7l637uw033hjlqvmhy0c:jufferyUpstein,Juffery Upstein,npub-namespaced,4,key:6106ee36 key:96159b38 key:98e5ca0b key:c37d50ad
76099794e780b9cd,,random hex-16,3,wss://groups.satsdisco.com wss://groups.yugoatobe.com wss://nip29.f7z.io
997bcfd35d30dfa3,997bcfd35d30dfa3,random hex-16,3,key:52b38b2e wss://groups.0xchat.com wss://groups.yugoatobe.com
26a9cceda473cb1b,💬 General Chat,random hex-16,3,key:385c3a6e key:52623aec key:f9b3bad7
516e83805fa692f9,🟠 BITCOIN,random hex-16,3,key:385c3a6e key:52623aec key:f9b3bad7
clan-scuffed-crew,,human-readable slug,3,key:cd4c2d77 key:f6b1203e key:f9cb8b9f
clan-test2,,human-readable slug,3,key:395434a2 key:906e3c0d key:dbd08b92
