n_groups,relay_url,relay_pubkey,all_urls_seen
1378,wss://groups.0xchat.com,ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,wss://groups.0xchat.com wss://groups.0xchat.com/3a31db4acbe65b8cb02cebc9da0a9a1e wss://groups.0xchat.com/dynamo-ivory-lantern wss://groups.0xchat.com/golf-mike-quartz wss://groups.0xchat.com/sable-karma
83,wss://groups.yugoatobe.com,a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,wss://groups.yugoatobe.com wss://groups.yugoatobe.com/charlie-xray wss://groups.yugoatobe.com/golf-anchor wss://groups.yugoatobe.com/india-charlie wss://groups.yugoatobe.com/india-warden-xenon wss://groups.yugoatobe.com/jade wss://groups.yugoatobe.com/juliet wss://groups.yugoatobe.com/nexus-mike-sierra wss://groups.yugoatobe.com/prism-onyx wss://groups.yugoatobe.com/quartz-zenith wss://groups.yugoatobe.com/raven-xray-bravo wss://groups.yugoatobe.com/romeo-whiskey wss://groups.yugoatobe.com/tango-romeo wss://groups.yugoatobe.com/tango-sierra wss://groups.yugoatobe.com/zenith-whiskey-vertex
69,wss://nip29.f7z.io,7e1eabe25256545cfe0c534a99bfa5c6cd224e04b614182a9993feff54196c95,wss://nip29.f7z.io wss://relay.highlighter.com
64,,00bb97abe00326e97091a24c7b16a412053cd8394a5c2be997798ed53f4bbe67,
58,,3c72addb4fdf09af94f0c94d7fe92a386a7e70cf8a1d85916386bb2535c7b1b1,
56,wss://groups.satsdisco.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7,wss://groups.satsdisco.com wss://groups.satsdisco.com/bravo-zenith wss://groups.satsdisco.com/charlie wss://groups.satsdisco.com/echo wss://groups.satsdisco.com/ember-xray wss://groups.satsdisco.com/india wss://groups.satsdisco.com/india-onyx wss://groups.satsdisco.com/jade-marble wss://groups.satsdisco.com/jade-onyx-charlie wss://groups.satsdisco.com/lantern-mike wss://groups.satsdisco.com/mike-charlie-xenon wss://groups.satsdisco.com/mike-xray-alpha wss://groups.satsdisco.com/november-umbra wss://groups.satsdisco.com/papa-foxtrot wss://groups.satsdisco.com/umbra wss://groups.satsdisco.com/umbra-nexus-quartz wss://groups.satsdisco.com/uniform-quartz
35,,e5e569296aa8c653c94cbdd4b752228820f5470e016590b339cd0f3183d85b79,
29,wss://newlay.relay.tools,41e1d75b7541b556f2865e405b936e7d5a706c6178dac564211f704a6c907062,wss://newlay.relay.tools
27,wss://relay29.notoshi.win,e0ee85a63929f52e9555fdf1c4453a24cd9122557e491c18efcaeed655f402e3,wss://relay29.notoshi.win wss://relay29.notoshi.win/juliet-papa wss://relay29.notoshi.win/romeo-warden wss://relay29.notoshi.win/victor-cipher wss://relay29.notoshi.win/warden-nexus-quartz wss://relay29.notoshi.win/xenon-jade-warden
27,,c553997189ea41092c5a2f926a1be77dfb82db5d7b8334f69109de4f9064d0b2,
