h_tag,group_name,id_shape,evidence_tier,n_relay_instances,n_verified_39000_signers,n_verified_39000_39001_39002_signers,relays_or_relay_keys,relay_pubkeys,kind10009_claimed_urls
clan-test,,human-readable slug,A,49,44,49,key:00ba9099 key:03125e3a key:0319cdc0 key:0b39d583 key:1642183d key:18283348 key:1baf936e key:1d05184e key:215d0664 key:32d1f284 key:37896c4a key:37d14f64 key:395434a2 key:42a22274 key:4c5fbaff key:5a046afa key:600ed8ae key:62361b92 key:64cf2cb3 key:6b03a7c3 key:6ff84457 key:73d98542 key:87ba5faa key:8ad7fe5a key:91d2561b key:91ed0b40 key:98c3091b key:9ad2920c key:9ae60d70 key:9c5bc8ca key:a31ce0b3 key:af2998c9 key:af83c0ae key:b6ba8f57 key:b970dd51 key:bf0794b0 key:bf76473d key:ca6d0766 key:cbac5108 key:d40e5a5f key:d88e847e key:e141ff9d key:e8a719fc key:f1bf84cd key:f22e1cdb key:f58ff8a9 key:f6b1203e key:f72299ed key:fc3c2b95,00ba90990d6708944b922d0963b3ebd4c04926dd0c887b86a1a5039a7bc83986 03125e3a077a726a963fb947ac914d165c081c49a3efddfffa3399baf87eca5d 0319cdc0859bcc79f5542777a775c614f82be1a042416c74851a7f13766164e6 0b39d583a83db692ed40cfe88b1f33d15c3742c6aaa061dbb8767a2b0244f7c9 1642183d6383d7e643ee05c1b7a7e9eff68f5737e2ee9775cde1cf63d025a282 18283348520f00e6283251c5a2a7a86fedce3ab18d1a796dcf84abd7f2da1ee3 1baf936e8d8e555946a82d232e48eaa02c4345b356503c3531315fb94a36498a 1d05184e0c07114657631c96780817234d44044dd79fd219f043627b371db683 215d066471761042300ac273d6167d09346ad9746fa0e01d4b20d4b28ac8f5d1 32d1f28407f9be528b0bded28b41410169a4ffafbf32c0829798a90dd9fa6bb5 37896c4a936407e79f4b9baa160114cdf05ea9ad0dcf750fa6f63715d1c86dce 37d14f64f036eb269b0eb9e5ee3a5f63dcd9995c2a849b0f572d6131027f8ca3 395434a2abdf7b674b9fb0dc470e7e7cc1892f83be15c1a8b1c7780d8a9f50d0 42a22274b979e6a88f75780bcfa539b1a254c63260a55f228132b004be3de0df 4c5fbaffa01012a1af0895a29a135bbb18b4cb0e1b97b0807f16bb9d8204a377 5a046afadcefc6c83863f3617f2f2bd7554984d7e644db9295e667d275dfce4a 600ed8ae42b1965bd8d604aaa09b3e5dc14f248a56bb3a3003186aec4a582aad 62361b92488be103ddc97345421bbf6c7197b3d9d1cb80e2ebe4d750a26d5955 64cf2cb3103b8e4841329b0b62a9e822c7f338304293937b9e2bda1705f00d44 6b03a7c3fbdc855d2a799e26f1db0262c245a1930126d99565debebdaec25139 6ff8445759a0cbb58c8206ccfb9b8baa1fba954622b595e26473758787b23db8 73d985427ffa98157200e1c2534ac03781a5175bf5e721cd4db0223c5e026b67 87ba5faa3289050e35dbeb9a603949d35ab54bb507f00f73e2eb31758d2db925 8ad7fe5a51d09e05d0d7b67c5f22ed189d9eea40af9a8630754b3605f4d59a3c 91d2561bf773765c35a116da5cfc8e90d30e9a6b85de8b5b5552a04ba5bf0bee 91ed0b40e60b5fb3a961d1a83525a9e2e26793eb129761da28055c3fafb25e06 98c3091b44c97ac630d179fa0b64b0796af074c1f99547e36adda701f0d027eb 9ad2920cfa1c0913ef8eac3d6d5239d0488df519fba06ee51ae50b061165a5de 9ae60d70ad65601607f0655db7103767e6f0b1afc0b2b0c8fc47d23a12b7a0c8 9c5bc8ca642aa8a5852544181a585d7ae568a72b488c2c4cbea89470431394eb a31ce0b3699b3ab61218cc68746adb87b04ebd89806da838d87c2a5c1fcc8ff1 af2998c985507adc7b663ecff87e0349a92e9e7630128363db90dd955133b721 af83c0ae62e0ad19a539c0c4cd7c1ad2cb91c027e93946460ad7a84210e46b94 b6ba8f571cf043adc4cf609898b2de576196cb976977ac46d9a871e979493e84 b970dd51d3572ed982d8a026185383995251c0056eaaae4c66819ddcc67b8b94 bf0794b0792f7e43c04ba194af8ae8234ac8318c6f50c1dd8f7febbcffebd54d bf76473d89abf4cd73f28674fea0ab574330053420bc5fd6334fad0a483ec810 ca6d0766d743bac57b6eb136c3221db82c6318f3375b05af322b47ed9e677905 cbac51080b81998f3a0368e7ad88c0e98d8903107d88c51014d7dd8ebd145fb7 d40e5a5f2d3c6f6a117a52287528b4c07634e3b18517ccd9e39ed31f436db366 d88e847e327b5d753d4bde697ddfb5e0dff73c2e114bf630ada99a58f02264bb e141ff9de93ec4aa5fa795e0ca71a5dea4fefceca9e9d1ee5e39e2f1766b27ac e8a719fc72fe3adfac647a9706d03d59cf73536e562cc68906c5caf026ace12b f1bf84cd2329703680fcd3bcd276cb6ea88f7e3bbc94fa0a39052ea38b4e9370 f22e1cdbaca68acbe236b2571ce252083ae8d2e21d195cf763a730f2f44cc34f f58ff8a9ead665d43fd304f0b32a816c8f82bf6994febbc6c77e4d6c2953f634 f6b1203ef7ae1d3aaf22eabd4e1a78793e17a5d0960c87b87a5d7359998f2a99 f72299ed9a07a30b528ee16b00d648f6473e6229f840959ef7a1227694b34b7c fc3c2b9540b3b75b22e33a03d40f6257411b032d8dfc4734902942925954f24b,
7c92b9a7956977b7,7c92b9a7956977b7,random hex-16,A,4,4,4,key:081d5c44 key:ea2fa747 wss://groups.0xchat.com wss://groups.satsdisco.com,081d5c446e77309ff5a396cc13a4b136dc844338579136c90d1e3f0d70e87027 a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8 ea2fa74716336d16daead95678a3fe27a18c69632a92c089f832c0325696d42c,
76099794e780b9cd,,random hex-16,A,3,3,3,wss://groups.satsdisco.com wss://groups.yugoatobe.com wss://nip29.f7z.io,7e1eabe25256545cfe0c534a99bfa5c6cd224e04b614182a9993feff54196c95 a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,
997bcfd35d30dfa3,997bcfd35d30dfa3,random hex-16,A,3,3,3,key:52b38b2e wss://groups.0xchat.com wss://groups.yugoatobe.com,52b38b2e7e93de6f44ce8cf7e3f8367e9b0f8008cef8ee70e6f9fdbf8d917a4e a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
clan-scuffed-crew,,human-readable slug,A,3,3,3,key:cd4c2d77 key:f6b1203e key:f9cb8b9f,cd4c2d7776d61d4ceb09a7f08e794cc4630d8ff6d28e2aa548419efa9bf44aca f6b1203ef7ae1d3aaf22eabd4e1a78793e17a5d0960c87b87a5d7359998f2a99 f9cb8b9f7e7805f8abd08fa80347e14676ed4f76f9f945a728e34cf230cb7f72,
516e83805fa692f9,🟠 BITCOIN,random hex-16,A,3,2,2,key:385c3a6e key:52623aec key:f9b3bad7,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd 52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41 f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,
clan-test2,,human-readable slug,A,3,2,3,key:395434a2 key:906e3c0d key:dbd08b92,395434a2abdf7b674b9fb0dc470e7e7cc1892f83be15c1a8b1c7780d8a9f50d0 906e3c0dfb51a468c23d0c5ed824a4aa5fe54e85457ea13d83af817c407cd645 dbd08b92b50909f461fb972733245ae70f3a5f0814ab6074e28b301a9429676b,
npub1dj7xhmazjpyv0yqqdzxxmt3vf04gwlkpuk4xmqa9z355lnax3knqhy43xu:diagopen-1772305009562,DiagOpen-1772305009562,npub-namespaced,A,3,2,3,key:30875f0e key:6cbc6bef key:d2c6620c,30875f0ef92b4d964c58b7bfdf517ebb197420515e5210a8c0d3875f6863b631 6cbc6befa29048c79000688c6dae2c4bea877ec1e5aa6d83a514694fcfa68da6 d2c6620cc3cf5cbf80eab94622fc70392ef99220e72a4ae0847b8e65b0d2a558,
npub1glrlt80e4jgxmjjt52nd2w55r5pktk74zevvxk08dm4qjn4pju9q97wn99:rendereropensmoke-1772271205645,RendererOpenSmoke-1772271205645,npub-namespaced,A,3,2,3,key:112a3601 key:47c7f59d key:f8f31fea,112a3601506bf3555fa6353970ab97bf7035c8e26da43c7d58792fa664b10dd7 47c7f59df9ac906dca4ba2a6d53a941d0365dbd51658c359e76eea094ea1970a f8f31feac6df6062e93cac1d8a8a7743111b78e8bbcb14a849dd0c9b8604f5e0,
04cc3b4b5e95be19a574b19a1d04745ea02af0cfab93cba5fd08f594ceff8e05,💃🏻影视🫦直播源,random hex-64,A,2,2,2,wss://groups.0xchat.com wss://strfry.ymir.cloud,ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8 d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2,
0df3540cb80c689a,🏛️ Forum ,random hex-16,A,2,2,2,key:385c3a6e key:f9b3bad7,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,
206486afd34f7fd8,206486afd34f7fd8,random hex-16,A,2,2,2,key:52623aec wss://groups.satsdisco.com,52623aecd77c85d99551d17c5c8d688abd0c140a7e08588d6ec01a8000af5a41 a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7,
344460545dc4a092,344460545dc4a092,random hex-16,A,2,2,2,key:285314c8 wss://groups.0xchat.com,285314c8c025115180a57a495a5dfca5b517e74c4ab9fceb0207a856732abe18 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
368714f675c49406,,random hex-16,A,2,2,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,
3e83ccbed52786c13c0e24188f7b7a4c6ade25a66c9234e21010edd73224f6f5,Livros em PDF,random hex-64,A,2,2,2,wss://groups.0xchat.com wss://strfry.ymir.cloud,ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8 d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2,
3fe3d428d48c8054,3fe3d428d48c8054,random hex-16,A,2,2,2,key:cebdd42b wss://groups.satsdisco.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 cebdd42b29f4ff8a10e8af3a148fb9a413d8bb07cee970a33122d4b9f05f328a,
884ab129-7b59-47,EnTrappt's Highlighter,human-readable slug,A,2,2,2,wss://groups.0xchat.com wss://relay29.notoshi.win,ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8 e0ee85a63929f52e9555fdf1c4453a24cd9122557e491c18efcaeed655f402e3,
94dfa2316b20d0ed,,random hex-16,A,2,2,2,wss://groups.satsdisco.com wss://nip29.f7z.io,7e1eabe25256545cfe0c534a99bfa5c6cd224e04b614182a9993feff54196c95 a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7,
GROUP_4d0cd951,Kurtlar Vadisi,human-readable slug,A,2,2,2,key:0e25c22a key:dfeeef3e,0e25c22ae9fb15e97e230640ca691ec5e228cbd9682879b38f0e636e2f47bd74 dfeeef3e4f656b6a2f8eabe7a15b4231705983533ece667f8d2f1d481aad861a,
acleprush,zap.stream,random letters,A,2,2,2,wss://relay.zap.stream wss://strfry.ymir.cloud,d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2 f570c2259560d8ffc98dabefcde879cf5734bc6b32dcd040525a8e1f4c3231b1,
adef469c11ed45bb,𓉶  Obelisk,random hex-16,A,2,2,2,key:385c3a6e key:f9b3bad7,385c3a6ec0b9d57a4330dbd6284989be5bd00e41c535f9ca39b6ae7c521b81cd f9b3bad79fb66ba0cc9aa049c1ccd974a2249bdb5f1f99d9ddb007852269c79b,
bf422b9ed3b380fa,,random hex-16,A,2,2,2,wss://groups.0xchat.com wss://groups.yugoatobe.com,a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
bfe4b11b98602f25,,random hex-16,A,2,2,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,
c1876ebb8e3a159b,c1876ebb8e3a159b,random hex-16,A,2,2,2,key:081d5c44 key:ea2fa747,081d5c446e77309ff5a396cc13a4b136dc844338579136c90d1e3f0d70e87027 ea2fa74716336d16daead95678a3fe27a18c69632a92c089f832c0325696d42c,
d85c2e528de55b24,,random hex-16,A,2,2,2,wss://groups.0xchat.com wss://groups.satsdisco.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
dd470c415873ea85,dd470c415873ea85,random hex-16,A,2,2,2,key:384bf414 wss://groups.0xchat.com,384bf4148732137298e1c1ec11b4f6441b6e73fb055cc6e71fa71bbe68506737 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
dns:buzzster.xyz,,human-readable slug,A,2,2,2,key:3eb8fe5e key:b8a9e7be,3eb8fe5e80a5e1b0a2c38839428743deb2e496dc9967bf2268d3a25c71688ad6 b8a9e7be139c26dfe45de9df2b48cb64945ad5bc74bda536c61a725209aefca7,
e06899f0e9e220b5,,random hex-16,A,2,2,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,
e090f912cd46140b,,random hex-16,A,2,2,2,wss://groups.0xchat.com wss://groups.satsdisco.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
eagarghstayshou,Get We3!Rd,human-readable slug,A,2,2,2,wss://spatia-arcana.com wss://strfry.ymir.cloud,56002ce9ace5caa55085b79d893a60da0a07bec965c40d2ca2d453e0b226e003 d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2,
f8f8affc81dec495,,random hex-16,A,2,2,2,wss://groups.satsdisco.com wss://groups.yugoatobe.com,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 a76bebdb78d558d5f25a6a13a858e48358ecc5dd9616ed64db0d7d23ab9551f1,
general,general,human-readable slug,A,2,2,2,wss://groups.satsdisco.com wss://mihhdu.org/nostr,a3cda8aa93454e98a553f1fa096f5f101cba6999c9e3afa81ef3e53d5c9ae5e7 bd658a7813f09b127296c4c8277c9b90891e004a9b13370ec2e79d285c066ef5,wss://trobades.kilombino.com
h1,hallway,human-readable slug,A,2,2,2,wss://basspistol.org wss://strfry.ymir.cloud,afd7da3f794182dc3433c478c7e19735276faf16057a3ed8e58bf10944161041 d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2,
iapeeboploo,DubHeads,random letters,A,2,2,2,wss://basspistol.org wss://strfry.ymir.cloud,afd7da3f794182dc3433c478c7e19735276faf16057a3ed8e58bf10944161041 d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2,
mynd-labs,mynd-labs,human-readable slug,A,2,2,2,key:79023e27 wss://relay.mynd.my.id,79023e27d699a7bf2862a22d4724069a141b97051d4b7fb85d59cb6e086024c2 a82a8dc547229d01483737cc7694211752226841e271f76e62f636fd5ee0c92a,
nostrord,Nostrord,human-readable slug,A,2,2,2,wss://chat.wisp.talk wss://groups.0xchat.com,ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8 d9e2be1167486325e4360c0d5bb3107081795ecd92c96ee31bd1248598c69f26,wss://nip29.f7z.io
npub1t927j9wh58w6v7wh7j0h656wx7693jyu75ake88gyhn0j6xps3xswuph3h:diagopen-1772304696067,DiagOpen-1772304696067,npub-namespaced,A,2,2,2,key:5955e915 key:72d89358,5955e915d7a1dda679d7f49f7d534e37b458c89cf53b6c9ce825e6f968c1844d 72d8935880e09b62461d80074dcffdf68d516f6fb50311c997b078e30ffca231,
npub1vqjxnvcwqg803swqhvnk3sfwxr0mxgxgvczv9x7p44wcc0kdevtqvnxrr5:diagopen-1772304924062,DiagOpen-1772304924062,npub-namespaced,A,2,2,2,key:602469b3 key:6cbc6bef,602469b30e020ef8c1c0bb2768c12e30dfb320c86604c29bc1ad5d8c3ecdcb16 6cbc6befa29048c79000688c6dae2c4bea877ec1e5aa6d83a514694fcfa68da6,
npub1wtvfxkyquzdky3sasqr5mnla76x4zmm0k5p3rjvhkpuwxrlu5gcsn2h9w4:diagopen-1772304806212,DiagOpen-1772304806212,npub-namespaced,A,2,2,2,key:602469b3 key:72d89358,602469b30e020ef8c1c0bb2768c12e30dfb320c86604c29bc1ad5d8c3ecdcb16 72d8935880e09b62461d80074dcffdf68d516f6fb50311c997b078e30ffca231,
orbee,Orbee,human-readable slug,A,2,2,2,key:a99a869e wss://groups.0xchat.com,a99a869e4431d145a66143cbd0b1b0ce6b462b9b90c2ac363c605a236da36cc5 ad98dd84852786e33eb0651878eb835b242d25f7c0255e6e5a745bf7b6be15c8,
support,support,human-readable slug,A,2,2,2,key:79023e27 wss://relay.mynd.my.id,79023e27d699a7bf2862a22d4724069a141b97051d4b7fb85d59cb6e086024c2 a82a8dc547229d01483737cc7694211752226841e271f76e62f636fd5ee0c92a,
zoxqa84y6lv7,Art Talk 🎨,random alnum,A,2,2,2,wss://chat.wisp.talk wss://strfry.ymir.cloud,d94e9d166d2845d53381bc4665b23d1c7a28faa6abb52fd8e7cc6482a4117eb2 d9e2be1167486325e4360c0d5bb3107081795ecd92c96ee31bd1248598c69f26,
npub1npzwvwukmqh2ep6h2hyszyja6mmthp8ggllfeveewdqjrzjlxx3s4mnrmd:testBeepyBeep,test beepy beep,npub-namespaced,B,6,1,6,key:6108aa41 key:9844e63b key:c3d20e43 key:cab0bc24 key:e5f3d95e key:fb5b7aa7,6108aa4124afb988bf53c79fc7cf44e6c2277999c6062106bb3c214bcc550d16 9844e63b96d82eac875755c901125dd6f6bb84e847fe9cb3397341218a5f31a3 c3d20e43436d130c953954ef73f759cbafa2e119b7ddffa5f21fc6fc3cdacf59 cab0bc24dad0c8a4c314d45c121df42dca5d279795c87fcbf89402a455853a8f e5f3d95ee10a5ce3a6d254f647cd15f0363abed682a3b7f28f7bf23cf9b9202d fb5b7aa7533b20c8f384c0ce1c68f6f647c14a56535fd49930d8811e7b1b1976,
npub1rlr8jpy7xpc5u97p20x9zvd8aqdh9tk00ga5sk8wugul95qy2w2qy6pnkg:throatDoctor,THROAT DOCTOR,npub-namespaced,B,6,1,6,key:13e5bc15 key:1fc67904 key:22bebd34 key:24d439a9 key:4520f82e key:a3d580fc,13e5bc1513fc72c8b326ed425af92fa919fea521bc8667b51b39ffdaeedf7310 1fc679049e30714e17c153cc5131a7e81b72aecf7a3b4858eee239f2d0045394 22bebd344b15daf2717253f77853ea02d4453f7533879cdde0febb71b3859fc0 24d439a9251e26c0e59e1a2dc917a30990fd43e7c5d50589d6b9452d4c89c790 4520f82ea2a89324743e419a9d361d183f1f9516b9d546520fd3a2ba585d98cf a3d580fc6f6d22095b4b4616737d87929cc0a57ce283b174900eef11f1673012,
npub1d9z59mkrqnq6p064fvlewel5q66kpdj2dajkf88fdsdzxgzkerrsv0qmeq:testFreebom,test freebom,npub-namespaced,B,5,1,5,key:5505ac0a key:694542ee key:7b52bc85 key:833ac438 key:c9cd2704,5505ac0a5adb75c0e6b0a4ddd99766df27855ff2e8f23d58e6e397c98da20363 694542eec304c1a0bf554b3f9767f406b560b64a6f65649ce96c1a232056c8c7 7b52bc854e5bef5885623baa6d2eb1609c7050e13c8f5f6c333209b26ddcfc03 833ac438e955ba99b3c51452e02163c0ad691c7e284137b8db64efdc9343d916 c9cd2704eda2ce36e30d53284e8437fb9106775ffb25dc0a8d1915314e0c78fa,
